site_id,latitude_deg,longitude_deg,altitude_m,candidate_source,downsample_method
grid-00000,-56.0,-80.0,0.0,rough_land_grid_proxy,farthest
grid-00001,56.0,100.0,0.0,rough_land_grid_proxy,farthest
grid-00002,-4.0,16.0,0.0,rough_land_grid_proxy,farthest
grid-00003,-24.0,148.0,0.0,rough_land_grid_proxy,farthest
grid-00004,24.0,-128.0,0.0,rough_land_grid_proxy,farthest
grid-00005,16.0,-52.0,0.0,rough_land_grid_proxy,farthest
grid-00006,28.0,168.0,0.0,rough_land_grid_proxy,farthest
grid-00007,68.0,-76.0,0.0,rough_land_grid_proxy,farthest
grid-00008,8.0,68.0,0.0,rough_land_grid_proxy,farthest
grid-00009,44.0,20.0,0.0,rough_land_grid_proxy,farthest
grid-00010,12.0,116.0,0.0,rough_land_grid_proxy,farthest
grid-00011,-24.0,-36.0,0.0,rough_land_grid_proxy,farthest
grid-00012,-32.0,52.0,0.0,rough_land_grid_proxy,farthest
grid-00013,-16.0,-80.0,0.0,rough_land_grid_proxy,farthest
grid-00014,64.0,180.0,0.0,rough_land_grid_proxy,farthest
grid-00015,32.0,-88.0,0.0,rough_land_grid_proxy,farthest
grid-00016,20.0,-12.0,0.0,rough_land_grid_proxy,farthest
grid-00017,-44.0,112.0,0.0,rough_land_grid_proxy,farthest
grid-00018,-32.0,0.0,0.0,rough_land_grid_proxy,farthest
grid-00019,16.0,-160.0,0.0,rough_land_grid_proxy,farthest
grid-00020,40.0,60.0,0.0,rough_land_grid_proxy,farthest
grid-00021,72.0,36.0,0.0,rough_land_grid_proxy,farthest
grid-00022,16.0,40.0,0.0,rough_land_grid_proxy,farthest
grid-00023,40.0,136.0,0.0,rough_land_grid_proxy,farthest
grid-00024,52.0,-128.0,0.0,rough_land_grid_proxy,farthest
grid-00025,-16.0,116.0,0.0,rough_land_grid_proxy,farthest
grid-00026,8.0,144.0,0.0,rough_land_grid_proxy,farthest
grid-00027,28.0,92.0,0.0,rough_land_grid_proxy,farthest
grid-00028,44.0,-52.0,0.0,rough_land_grid_proxy,farthest
grid-00029,-8.0,-12.0,0.0,rough_land_grid_proxy,farthest
grid-00030,-52.0,-36.0,0.0,rough_land_grid_proxy,farthest
grid-00031,-8.0,44.0,0.0,rough_land_grid_proxy,farthest
grid-00032,-8.0,-56.0,0.0,rough_land_grid_proxy,farthest
grid-00033,8.0,-76.0,0.0,rough_land_grid_proxy,farthest
grid-00034,40.0,-164.0,0.0,rough_land_grid_proxy,farthest
grid-00035,56.0,-12.0,0.0,rough_land_grid_proxy,farthest
grid-00036,-36.0,-60.0,0.0,rough_land_grid_proxy,farthest
grid-00037,20.0,16.0,0.0,rough_land_grid_proxy,farthest
grid-00038,-24.0,28.0,0.0,rough_land_grid_proxy,farthest
grid-00039,16.0,-104.0,0.0,rough_land_grid_proxy,farthest
grid-00040,0.0,-36.0,0.0,rough_land_grid_proxy,farthest
grid-00041,8.0,176.0,0.0,rough_land_grid_proxy,farthest
grid-00042,76.0,124.0,0.0,rough_land_grid_proxy,farthest
grid-00043,-44.0,152.0,0.0,rough_land_grid_proxy,farthest
grid-00044,8.0,96.0,0.0,rough_land_grid_proxy,farthest
grid-00045,48.0,160.0,0.0,rough_land_grid_proxy,farthest
grid-00046,72.0,-132.0,0.0,rough_land_grid_proxy,farthest
grid-00047,36.0,112.0,0.0,rough_land_grid_proxy,farthest
grid-00048,52.0,-96.0,0.0,rough_land_grid_proxy,farthest
grid-00049,36.0,-112.0,0.0,rough_land_grid_proxy,farthest
grid-00050,28.0,-68.0,0.0,rough_land_grid_proxy,farthest
grid-00051,36.0,-4.0,0.0,rough_land_grid_proxy,farthest
grid-00052,-32.0,128.0,0.0,rough_land_grid_proxy,farthest
grid-00053,60.0,68.0,0.0,rough_land_grid_proxy,farthest
grid-00054,4.0,0.0,0.0,rough_land_grid_proxy,farthest
grid-00055,20.0,132.0,0.0,rough_land_grid_proxy,farthest
grid-00056,60.0,140.0,0.0,rough_land_grid_proxy,farthest
grid-00057,-12.0,136.0,0.0,rough_land_grid_proxy,farthest
grid-00058,24.0,72.0,0.0,rough_land_grid_proxy,farthest
grid-00059,-16.0,4.0,0.0,rough_land_grid_proxy,farthest
grid-00060,32.0,36.0,0.0,rough_land_grid_proxy,farthest
grid-00061,28.0,-148.0,0.0,rough_land_grid_proxy,farthest
grid-00062,12.0,160.0,0.0,rough_land_grid_proxy,farthest
grid-00063,-24.0,-16.0,0.0,rough_land_grid_proxy,farthest
grid-00064,-36.0,-80.0,0.0,rough_land_grid_proxy,farthest
grid-00065,56.0,36.0,0.0,rough_land_grid_proxy,farthest
grid-00066,44.0,84.0,0.0,rough_land_grid_proxy,farthest
grid-00067,28.0,148.0,0.0,rough_land_grid_proxy,farthest
grid-00068,20.0,56.0,0.0,rough_land_grid_proxy,farthest
grid-00069,44.0,-76.0,0.0,rough_land_grid_proxy,farthest
grid-00070,56.0,-152.0,0.0,rough_land_grid_proxy,farthest
grid-00071,72.0,-12.0,0.0,rough_land_grid_proxy,farthest
grid-00072,4.0,28.0,0.0,rough_land_grid_proxy,farthest
grid-00073,4.0,52.0,0.0,rough_land_grid_proxy,farthest
grid-00074,-20.0,-64.0,0.0,rough_land_grid_proxy,farthest
